UNITID,Year,INSTNM,State,Total_Students,Known_Students,Unknown_Students,In_State_Students,Out_State_Students,Foreign_Students,US_Students,Avg_Cost,Median_HH_Income
110653,2016,University of California-Irvine,CA,6551,6551,0,4860,149,1542,5009,34355,78085.65
110680,2016,University of California-San Diego,CA,5748,5746,2,4225,385,1136,4610,33240,76397.62
236948,2016,University of Washington-Seattle Campus,WA,6475,6463,12,4424,1084,955,5508,26825,69752.4
204796,2016,Ohio State University-Main Campus,OH,7938,7935,3,5289,1797,849,7086,27202,65208.79
110662,2016,University of California-Los Angeles,CA,6545,6542,3,4906,829,807,5735,35497,72896.84
110635,2016,University of California-Berkeley,CA,6252,6252,0,4729,867,656,5596,39016,77601.85
133951,2016,Florida International University,FL,4534,4502,32,3722,138,642,3860,19384,58110.89
240444,2016,University of Wisconsin-Madison,WI,6430,6426,4,3656,2231,539,5887,26393,71185.17
110705,2016,University of California-Santa Barbara,CA,4996,4994,2,4248,208,538,4456,36492,73046.19
123961,2016,University of Southern California,CA,3068,3058,10,1299,1293,466,2592,77362,76787.41
228778,2016,The University of Texas at Austin,TX,8719,8684,35,7651,581,452,8232,27397,72284.1
174066,2016,University of Minnesota-Twin Cities,MN,5880,5844,36,3783,1707,354,5490,27654,70741.62
134130,2016,University of Florida,FL,6833,6784,49,5678,758,348,6436,21151,60120.16
170976,2016,University of Michigan-Ann Arbor,MI,6689,6689,0,3402,2943,344,6345,30926,77145.9
122409,2016,San Diego State University,CA,5077,5077,0,4042,698,337,4740,23367,68953.33
137351,2016,University of South Florida-Main Campus,FL,4049,4018,31,3364,329,325,3693,21134,58397.57
131469,2016,George Washington University,DC,2525,2466,59,37,2111,318,2148,74023,85677.46
215062,2016,University of Pennsylvania,PA,2486,2418,68,442,1661,315,2103,78186,78252
209551,2016,University of Oregon,OR,4041,4037,4,1930,1801,306,3731,27717,62294.9
181464,2016,University of Nebraska-Lincoln,NE,4860,4796,64,3405,1085,306,4490,24400,60976.73
211440,2016,Carnegie Mellon University,PA,1552,1551,1,161,1089,301,1250,74489,81652.61
129020,2016,University of Connecticut,CT,3822,3822,0,2516,1006,300,3522,33896,80999.86
140951,2016,Savannah College of Art and Design,GA,2236,2205,31,340,1581,284,1921,58367,71588.69
108232,2016,Academy of Art University,CA,1064,1053,11,359,438,256,797,43976,74015.06
139755,2016,Georgia Institute of Technology-Main Campus,GA,2877,2853,24,1540,1059,254,2599,29291,77933.64
204024,2016,Miami University-Oxford,OH,3799,3796,3,2127,1420,249,3547,33805,72182.76
139658,2016,Emory University,GA,1358,1358,0,197,914,247,1111,72604,80509.92
