State,INSTNM,UNITID,Prop_Score,Cost_Score,Full_Score
KY,Kentucky State University,157058,10,10,100
NM,Northern New Mexico College,188058,10,10,100
MI,Yeshiva Gedolah of Greater Detroit,247773,10,10,100
TX,University of Phoenix-Texas,484756,10,10,100
WV,Concord University,237330,10,10,100
DE,Wilmington University,131113,10,10,100
UT,Western Governors University,433387,10,10,100
HI,University of Phoenix-Hawaii,420042,10,10,100
RI,Rhode Island College,217420,10,10,100
ME,University of Maine at Augusta,161217,10,10,100
CT,Charter Oak State College,128780,10,10,100
WI,Madison Area Technical College,238263,10,10,100
NH,Granite State College,183257,10,10,100
KS,Pittsburg State University,155681,10,10,100
IN,Indiana University-Purdue University-Fort Wayne,151102,10,10,100
CA,University of Phoenix-California,484631,10,10,100
NC,Elizabeth City State University,198507,10,10,100
OR,Southern Oregon University,210146,10,10,100
GA,Beulah Heights University,139153,10,10,100
LA,Southern University at New Orleans,160630,10,10,100
